start_id,end_id,type,source,confidence
speaker_Professor_B,topic_What,DISCUSSES,MISeD,0.8
speaker_Professor_B,topic_Professor,DISCUSSES,MISeD,0.8
speaker_Professor_B,topic_digits,DISCUSSES,MISeD,0.8
speaker_PhD_F,topic_Can,DISCUSSES,MISeD,0.8
topic_Can,concept_PhD_F_confirmed_that_the_SRI_digit_recognition_system_outperforms_the_HTK-based_system,RELATES_TO,MISeD,0.7
topic_Can,concept_PhD_F_noticed_that_the_SRI_system_performs_worse_when_the_microphone_is_far_from_the_speaker,RELATES_TO,MISeD,0.7
topic_Can,concept_PhD_F_proposed_to_improve_the_SRI_system's_performance_in_noisy_conditions_by_adapting_it_using_a_small_amount_of_data_collected_in_the_same_room_where_the_meeting_was_held,RELATES_TO,MISeD,0.7
topic_Can,concept_PhD_F_also_proposed_to_run_a_test_to_compare_the_system's_performance_on_TI_digits_to_its_performance_on_Switchboard_data,RELATES_TO,MISeD,0.7
speaker_PhD_A,topic_What,DISCUSSES,MISeD,0.8
speaker_PhD_A,topic_alignment,DISCUSSES,MISeD,0.8
speaker_PhD_A,topic_forced_alignment,DISCUSSES,MISeD,0.8
topic_What,concept_PhD_A_suggested_using_a_"proximity_constraint"_to_help_the_forced_alignment_algorithm_determine_which_words_most_likely_correspond_to_each_speaker,RELATES_TO,MISeD,0.7
topic_What,concept_They_also_proposed_to_allow_for_"reject_models"_that_could_match_fragments_and_noise,RELATES_TO,MISeD,0.7
topic_What,concept_Additionally,_PhD_A_suggested_marking_the_beginning_and_end_of_foreground_speech_by_hand_to_improve_the_accuracy_of_the_alignment,RELATES_TO,MISeD,0.7
topic_alignment,concept_PhD_A_suggested_using_a_"proximity_constraint"_to_help_the_forced_alignment_algorithm_determine_which_words_most_likely_correspond_to_each_speaker,RELATES_TO,MISeD,0.7
topic_alignment,concept_They_also_proposed_to_allow_for_"reject_models"_that_could_match_fragments_and_noise,RELATES_TO,MISeD,0.7
topic_alignment,concept_Additionally,_PhD_A_suggested_marking_the_beginning_and_end_of_foreground_speech_by_hand_to_improve_the_accuracy_of_the_alignment,RELATES_TO,MISeD,0.7
topic_forced_alignment,concept_PhD_A_suggested_using_a_"proximity_constraint"_to_help_the_forced_alignment_algorithm_determine_which_words_most_likely_correspond_to_each_speaker,RELATES_TO,MISeD,0.7
topic_forced_alignment,concept_They_also_proposed_to_allow_for_"reject_models"_that_could_match_fragments_and_noise,RELATES_TO,MISeD,0.7
topic_forced_alignment,concept_Additionally,_PhD_A_suggested_marking_the_beginning_and_end_of_foreground_speech_by_hand_to_improve_the_accuracy_of_the_alignment,RELATES_TO,MISeD,0.7
topic_What,concept_The_primary_objective_of_the_meeting_was_to_discuss_the_results_of_the_digit_recognition_experiments_conducted_using_the_SRI_and_HTK-based_systems,RELATES_TO,MISeD,0.7
topic_What,concept_The_participants_also_discussed_how_to_improve_the_performance_of_the_SRI_system_in_noisy_conditions_and_explored_methods_for_enhancing_the_accuracy_of_forced_alignment,RELATES_TO,MISeD,0.7
topic_Can,concept_The_participants_decided_to_conduct_a_test_to_determine_if_the_SRI_system_would_show_improvement_if_trained_on_TI_digits,_and_to_compare_the_results_to_the_system_trained_on_Switchboard_data,RELATES_TO,MISeD,0.7
topic_Can,concept_They_also_agreed_to_investigate_methods_for_improving_the_SRI_system's_performance_in_noisy_conditions_and_to_explore_techniques_for_enhancing_the_accuracy_of_forced_alignment,RELATES_TO,MISeD,0.7
speaker_Grad_E,meeting_Bmr019,PARTICIPATED_IN,MISeD,1.0
speaker_Professor_B,meeting_Bmr019,PARTICIPATED_IN,MISeD,1.0
speaker_PhD_F,meeting_Bmr019,PARTICIPATED_IN,MISeD,1.0
speaker_Grad_G,meeting_Bmr019,PARTICIPATED_IN,MISeD,1.0
speaker_Postdoc_C,meeting_Bmr019,PARTICIPATED_IN,MISeD,1.0
speaker_PhD_D,meeting_Bmr019,PARTICIPATED_IN,MISeD,1.0
speaker_Grad_I,meeting_Bmr019,PARTICIPATED_IN,MISeD,1.0
speaker_PhD_A,meeting_Bmr019,PARTICIPATED_IN,MISeD,1.0
speaker_PhD_H,meeting_Bmr019,PARTICIPATED_IN,MISeD,1.0
topic_What,concept_The_Canadian_government_discussed_providing_economic_relief_to_sectors_affected_by_the_COVID-19_pandemic,_including_fisheries,_agriculture,_and_tourism,RELATES_TO,MISeD,0.7
topic_What,concept_The_government_announced_$62.5_million_in_support_for_the_fish_and_seafood_processing_sector,_$252_million_in_aid_for_the_agriculture_sector,_and_funding_for_tourism_businesses_through_regional_development_agencies,RELATES_TO,MISeD,0.7
topic_What,concept_Concerns_were_raised_by_members_about_the_adequacy_of_the_proposed_aid_packages_and_the_eligibility_criteria_for_various_relief_programs,RELATES_TO,MISeD,0.7
topic_What,concept_Discussions_were_held_on_issues_such_as_the_need_to_support_seasonal_businesses,_preserve_Canadian_jobs,_and_prioritize_the_use_of_domestic_oil_over_imported_oil,RELATES_TO,MISeD,0.7
topic_What,concept_There_was_no_resolution_reached_on_questions_related_to_tax_avoidance_in_tax_havens,_the_impact_of_the_pandemic_on_the_Canadian_Armed_Forces,_or_specific_measures_to_address_the_economic_losses_faced_by_potato_farmers,RELATES_TO,MISeD,0.7
speaker_The_Chair_(Hon._Anthony_Rota_(NipissingTimiskaming,_Lib.)),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Mr._Garnett_Genuis_(Sherwood_ParkFort_Saskatchewan,_CPC),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_The_Chair,meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Mr._Nathaniel_Erskine-Smith_(BeachesEast_York,_Lib.),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Mr._Eric_Duncan_(StormontDundasSouth_Glengarry,_CPC),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Mr._Peter_Julian_(New_WestminsterBurnaby,_NDP),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Mr._Gord_Johns_(CourtenayAlberni,_NDP),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Mr._Brad_Vis_(MissionMatsquiFraser_Canyon,_CPC),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Mr._Pierre_Paul-Hus_(CharlesbourgHaute-Saint-Charles,_CPC),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Right_Hon._Justin_Trudeau_(Prime_Minister),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Mr._Pierre_Paul-Hus,meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Right_Hon._Justin_Trudeau,meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Mr._Yves-Franois_Blanchet_(BeloeilChambly,_BQ),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Mr._Yves-Franois_Blanchet,meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Ms._Laurel_Collins_(Victoria,_NDP),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Ms._Laurel_Collins,meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Mr._Jol_Godin_(PortneufJacques-Cartier,_CPC),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Mr._Jol_Godin,meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Hon._Andrew_Scheer_(Leader_of_the_Opposition),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Hon._Andrew_Scheer,meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Ms._Marilyn_Gladu_(SarniaLambton,_CPC),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Hon._Deb_Schulte_(Minister_of_Seniors),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Ms._Marilyn_Gladu,meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Hon._Bill_Blair_(Minister_of_Public_Safety_and_Emergency_Preparedness),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Hon._Bill_Morneau_(Minister_of_Finance),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Mr._Mel_Arnold_(North_OkanaganShuswap,_CPC),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Mr._Mel_Arnold,meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Hon._Bernadette_Jordan_(Minister_of_Fisheries,_Oceans_and_the_Canadian_Coast_Guard),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Hon._Bernadette_Jordan,meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Hon._Carla_Qualtrough_(Minister_of_Employment,_Workforce_Development_and_Disability_Inclusion),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Hon._Michelle_Rempel_Garner_(Calgary_Nose_Hill,_CPC),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Hon._Michelle_Rempel_Garner,meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Ms._Rachael_Harder_(Lethbridge,_CPC),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Hon._Bill_Blair,meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Ms._Rachael_Harder,meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Hon._Chrystia_Freeland_(Deputy_Prime_Minister_and_Minister_of_Intergovernmental_Affairs),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Hon._Chrystia_Freeland,meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Mr._James_Bezan_(SelkirkInterlakeEastman,_CPC),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Hon._Harjit_S._Sajjan_(Minister_of_National_Defence),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Mr._James_Bezan,meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Hon._Harjit_S._Sajjan,meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Mr._Gabriel_Ste-Marie_(Joliette,_BQ),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Mr._Gabriel_Ste-Marie,meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Hon._Diane_Lebouthillier_(Minister_of_National_Revenue),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Hon._Diane_Lebouthillier,meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Mr._Churence_Rogers_(BonavistaBurinTrinity,_Lib.),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Mr._Sukh_Dhaliwal_(SurreyNewton,_Lib.),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Mr._Damien_Kurek_(Battle_RiverCrowfoot,_CPC),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Mr._Sukh_Dhaliwal,meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Ms._Heather_McPherson_(Edmonton_Strathcona,_NDP),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Ms._Heather_McPherson,meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Mr._Richard_Bragdon_(TobiqueMactaquac,_CPC),meeting_covid10,PARTICIPATED_IN,MISeD,1.0
speaker_Mr._Richard_Bragdon,meeting_covid10,PARTICIPATED_IN,MISeD,1.0
