Query,SAGE Score,Traditional Score,SAGE Latency,Traditional Latency,Similarity F1
What are the main responsibilities of Alice Johnson?,0,0,4.376197576522827,0.6596386432647705,0.999999995
Summarize the key points from the latest meeting notes,0,0,0.8968727588653564,0.4417426586151123,0.999999995
What projects is Bob Smith working on?,0,0,0.9234683513641357,0.3854997158050537,0.999999995
What are the deadlines for the current sprint?,0,0,0.7805709838867188,0.9617092609405518,0.999999995
Who is responsible for the data analysis task?,0,0,0.8810794353485107,0.41200995445251465,0.999999995
What is the relationship between Carol Williams and David Lee?,0,0,1.3891949653625488,0.40128374099731445,0.999999995
What are the key findings from the latest data analysis?,0,0,2.4149930477142334,0.48053479194641113,0.999999995
When is the next team meeting scheduled?,0,0,1.0802879333496094,0.8796999454498291,0.999999995
What are the main challenges mentioned in the project documentation?,0,0,1.083259105682373,0.4062838554382324,0.999999995
How does the team handle task assignments?,0,0,0.8209991455078125,1.3192660808563232,0.999999995
