Query,SAGE Score,Traditional Score,SAGE Latency,Traditional Latency,Similarity F1
What are the main responsibilities of Alice Johnson?,0,0,18.82929563522339,11.643821716308594,0.999999995
Summarize the key points from the latest meeting notes,0,0,2.4765543937683105,0.450258731842041,0.999999995
What projects is Bob Smith working on?,0,0,1.1765851974487305,0.5599203109741211,0.999999995
What are the deadlines for the current sprint?,0,0,1.2988009452819824,0.6248528957366943,0.999999995
Who is responsible for the data analysis task?,0,0,0.9087703227996826,0.39447855949401855,0.999999995
What is the relationship between Carol Williams and David Lee?,0,0,1.0128562450408936,0.4535348415374756,0.999999995
What are the key findings from the latest data analysis?,0,0,1.1596834659576416,0.45006704330444336,0.999999995
When is the next team meeting scheduled?,0,0,0.7187967300415039,0.5502827167510986,0.999999995
What are the main challenges mentioned in the project documentation?,0,0,1.5331571102142334,0.44286203384399414,0.999999995
How does the team handle task assignments?,0,0,0.9858784675598145,0.36825132369995117,0.999999995
